t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000480,0.000418,0.000003,-0.000005,-0.000000,0.000000,-0.001000,-0.000000
0.002000,0.320325,-0.001648,-0.000014,0.000005,0.000320,-0.000001,-0.002000,0.000000
0.003000,0.623756,-0.003314,0.000006,0.000012,0.000944,-0.000005,-0.003000,0.000000
0.004000,0.919184,-0.002914,0.000005,-0.000006,0.001863,-0.000007,-0.004000,0.000000
0.005000,1.204385,-0.005335,0.000001,0.000010,0.003067,-0.000013,-0.005000,0.000000
0.006000,1.477802,-0.004722,0.000005,-0.000009,0.004545,-0.000018,-0.006000,0.000000
0.007000,1.743289,-0.005577,-0.000005,-0.000011,0.006288,-0.000023,-0.007000,-0.000000
0.008000,1.995309,-0.007463,0.000010,-0.000001,0.008284,-0.000031,-0.008000,-0.000000
0.009000,2.240375,-0.008474,0.000010,0.000000,0.010524,-0.000039,-0.009000,-0.000000
0.010000,2.476822,-0.008892,0.000007,-0.000005,0.013001,-0.000048,-0.010000,-0.000000
0.011000,2.703709,-0.009930,0.000011,-0.000003,0.015704,-0.000058,-0.011000,-0.000000
0.012000,2.921846,-0.009948,0.000017,-0.000013,0.018626,-0.000068,-0.012000,-0.000000
0.013000,3.131399,-0.011337,0.000027,-0.000006,0.021758,-0.000079,-0.013000,-0.000000
0.014000,3.331945,-0.012939,0.000045,0.000004,0.025090,-0.000092,-0.014000,-0.000000
0.015000,3.527909,-0.012919,0.000046,-0.000005,0.028618,-0.000105,-0.015000,-0.000000
0.016000,3.713492,-0.013433,0.000067,-0.000007,0.032331,-0.000118,-0.016000,-0.000000
0.017000,3.893645,-0.014713,0.000079,-0.000000,0.036225,-0.000133,-0.017000,-0.000000
0.018000,4.065209,-0.013881,0.000104,-0.000018,0.040290,-0.000147,-0.018000,-0.000000
0.019000,4.232299,-0.015874,0.000118,-0.000002,0.044522,-0.000163,-0.019000,-0.000000
0.020000,4.391099,-0.016107,0.000145,-0.000006,0.048913,-0.000179,-0.020000,-0.000000
0.021000,4.542922,-0.016393,0.000179,-0.000010,0.053456,-0.000195,-0.020999,-0.000000
0.022000,4.688993,-0.017221,0.000215,-0.000007,0.058145,-0.000213,-0.021999,-0.000000
0.023000,4.830889,-0.017494,0.000243,-0.000010,0.062976,-0.000230,-0.022999,-0.000000
0.024000,4.966193,-0.018340,0.000280,-0.000006,0.067942,-0.000248,-0.023999,-0.000000
0.025000,5.096401,-0.018825,0.000318,-0.000006,0.073039,-0.000267,-0.024999,-0.000000
0.026000,5.222221,-0.019631,0.000353,-0.000003,0.078261,-0.000287,-0.025998,-0.000000
