t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000739,0.000325,-0.000004,-0.000006,0.000001,0.000000,-0.001000,-0.000000
0.002000,0.300907,-0.101556,0.000002,-0.000003,0.000302,-0.000101,-0.002000,-0.000000
0.003000,0.591348,-0.199071,0.000003,-0.000011,0.000895,-0.000296,-0.003000,-0.000000
0.004000,0.871365,-0.295731,-0.000004,0.000007,0.001770,-0.000578,-0.004000,-0.000000
0.005000,1.139869,-0.385816,0.000003,-0.000006,0.002919,-0.000937,-0.005000,-0.000000
0.006000,1.399654,-0.475425,-0.000002,0.000001,0.004333,-0.001369,-0.006000,-0.000000
0.007000,1.649462,-0.561246,-0.000003,-0.000002,0.006003,-0.001865,-0.007000,-0.000000
0.008000,1.887179,-0.644093,0.000014,-0.000002,0.007918,-0.002419,-0.008000,-0.000000
0.009000,2.118505,-0.726260,0.000012,0.000005,0.010073,-0.003027,-0.009000,-0.000000
0.010000,2.340250,-0.804590,0.000019,-0.000005,0.012458,-0.003680,-0.010000,-0.000000
0.011000,2.553662,-0.883414,0.000020,0.000009,0.015067,-0.004377,-0.011000,0.000000
0.012000,2.761874,-0.957970,0.000010,-0.000017,0.017895,-0.005109,-0.012000,-0.000000
0.013000,2.958021,-1.032442,0.000021,-0.000013,0.020929,-0.005873,-0.013000,-0.000000
0.014000,3.148522,-1.105131,0.000022,-0.000023,0.024166,-0.006664,-0.014000,-0.000000
0.015000,3.329024,-1.176267,0.000040,-0.000028,0.027595,-0.007478,-0.015000,-0.000000
0.016000,3.502235,-1.246800,0.000059,-0.000028,0.031209,-0.008311,-0.016000,-0.000000
0.017000,3.668902,-1.317523,0.000075,-0.000019,0.035003,-0.009160,-0.017000,-0.000000
0.018000,3.828984,-1.385294,0.000095,-0.000035,0.038969,-0.010020,-0.018000,-0.000000
0.019000,3.982072,-1.453778,0.000118,-0.000035,0.043102,-0.010890,-0.019000,-0.000000
0.020000,4.130181,-1.521141,0.000135,-0.000047,0.047395,-0.011764,-0.020000,-0.000000
0.021000,4.270439,-1.587384,0.000166,-0.000060,0.051842,-0.012641,-0.021000,-0.000000
0.022000,4.406135,-1.654342,0.000189,-0.000067,0.056438,-0.013517,-0.021999,-0.000000
0.023000,4.533783,-1.719838,0.000230,-0.000080,0.061174,-0.014391,-0.022999,-0.000000
0.024000,4.657615,-1.784759,0.000265,-0.000104,0.066048,-0.015258,-0.023999,-0.000000
0.025000,4.776832,-1.849950,0.000297,-0.000128,0.071053,-0.016117,-0.024999,-0.000001
0.026000,4.887570,-1.915560,0.000351,-0.000136,0.076183,-0.016967,-0.025999,-0.000001
