t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.646564,0.068269,0.000000,0.000000,0.000344,0.000038,-0.002083,-0.000000
0.001000,0.645868,0.068173,0.000005,0.000000,0.000990,0.000101,-0.003083,-0.000000
0.002000,0.938023,0.098359,0.000009,0.000011,0.001930,0.000184,-0.004083,-0.000000
0.003000,1.221599,0.130151,-0.000002,-0.000004,0.003154,0.000286,-0.005083,-0.000000
0.004000,1.491496,0.158739,0.000009,0.000006,0.004650,0.000397,-0.006083,-0.000000
0.005000,1.752614,0.188436,0.000012,0.000000,0.006408,0.000516,-0.007083,-0.000000
0.006000,2.006160,0.217537,0.000002,0.000001,0.008422,0.000637,-0.008083,-0.000000
0.007000,2.245869,0.246452,0.000021,-0.000004,0.010678,0.000757,-0.009083,-0.000000
0.008000,2.479378,0.273403,0.000024,0.000017,0.013168,0.000871,-0.010083,0.000000
0.009000,2.705048,0.303371,0.000020,0.000006,0.015887,0.000976,-0.011083,0.000000
0.010000,2.921666,0.332505,0.000021,0.000007,0.018823,0.001071,-0.012083,0.000000
0.011000,3.129495,0.363770,0.000027,-0.000015,0.021968,0.001152,-0.013083,0.000000
0.012000,3.329111,0.392590,0.000038,-0.000003,0.025315,0.001215,-0.014083,-0.000000
0.013000,3.520922,0.423366,0.000051,-0.000008,0.028854,0.001259,-0.015083,-0.000000
0.014000,3.707107,0.453202,0.000055,0.000007,0.032580,0.001279,-0.016083,-0.000000
0.015000,3.883502,0.484766,0.000078,0.000007,0.036483,0.001275,-0.017083,-0.000000
0.016000,4.051931,0.517408,0.000111,0.000002,0.040554,0.001245,-0.018083,-0.000000
0.017000,4.216501,0.551648,0.000128,-0.000009,0.044789,0.001189,-0.019083,-0.000000
0.018000,4.373246,0.584329,0.000158,0.000007,0.049180,0.001101,-0.020083,-0.000000
0.019000,4.522787,0.619222,0.000197,0.000007,0.053719,0.000983,-0.021083,-0.000000
0.020000,4.669153,0.656250,0.000221,-0.000003,0.058403,0.000833,-0.022083,-0.000000
0.021000,4.809581,0.693719,0.000249,-0.000007,0.063225,0.000651,-0.023082,-0.000000
0.022000,4.942853,0.730560,0.000292,0.000007,0.068178,0.000433,-0.024082,-0.000000
0.023000,5.072618,0.770022,0.000326,0.000006,0.073257,0.000180,-0.025082,-0.000000
0.024000,5.196694,0.810920,0.000366,0.000001,0.078456,-0.000108,-0.026082,-0.000000
0.025000,5.315939,0.852160,0.000410,0.000005,0.083771,-0.000432,-0.027081,0.000000
0.026000,5.429523,0.896099,0.000462,-0.000010,0.089194,-0.000793,-0.028081,-0.000000
0.027000,5.539905,0.940585,0.000509,-0.000016,0.094722,-0.001190,-0.029081,-0.000000
0.028000,5.643816,0.985156,0.000574,-0.000012,0.100348,-0.001626,-0.030080,-0.000000
0.029000,5.742619,1.031431,0.000648,-0.000014,0.106066,-0.002100,-0.031080,-0.000000
0.030000,5.837947,1.078887,0.000723,-0.000015,0.111872,-0.002612,-0.032079,-0.000000
0.031000,5.927806,1.126065,0.000813,0.000000,0.117761,-0.003164,-0.033078,-0.000000
0.032000,6.015778,1.177236,0.000894,-0.000014,0.123729,-0.003753,-0.034077,-0.000000
0.033000,6.099375,1.229249,0.000984,-0.000026,0.129772,-0.004379,-0.035077,-0.000000
0.034000,6.179871,1.281660,0.001077,-0.000027,0.135887,-0.005044,-0.036076,-0.000000
0.035000,6.256056,1.333014,0.001183,-0.000003,0.142067,-0.005750,-0.037075,-0.000000
0.036000,6.328792,1.388799,0.001292,-0.000016,0.148310,-0.006492,-0.038073,-0.000000
0.037000,6.399841,1.446112,0.001398,-0.000031,0.154612,-0.007270,-0.039072,-0.000000
0.038000,6.467442,1.503890,0.001512,-0.000039,0.160970,-0.008086,-0.040071,-0.000000
0.039000,6.531483,1.562164,0.001636,-0.000040,0.167381,-0.008938,-0.041069,-0.000000
0.040000,6.593042,1.622354,0.001763,-0.000049,0.173840,-0.009826,-0.042068,-0.000000
0.041000,6.652437,1.683507,0.001893,-0.000055,0.180345,-0.010751,-0.043066,-0.000000
0.042000,6.708291,1.745882,0.002034,-0.000063,0.186892,-0.011710,-0.044064,-0.000000
0.043000,6.760046,1.810014,0.002191,-0.000082,0.193476,-0.012703,-0.045062,-0.000000
0.044000,6.808484,1.874025,0.002361,-0.000087,0.200094,-0.013731,-0.046060,-0.000000
0.045000,6.860418,1.939877,0.002500,-0.000094,0.206748,-0.014793,-0.047058,-0.000001
0.046000,6.906601,2.006813,0.002667,-0.000106,0.213433,-0.015887,-0.048055,-0.000001
0.047000,6.950335,2.076020,0.002841,-0.000133,0.220145,-0.017013,-0.049053,-0.000001
0.048000,6.993399,2.145377,0.003014,-0.000149,0.226883,-0.018170,-0.050050,-0.000001
0.049000,7.032154,2.215139,0.003208,-0.000161,0.233643,-0.019358,-0.051047,-0.000001
0.050000,7.070791,2.287137,0.003397,-0.000186,0.240423,-0.020575,-0.052044,-0.000001
0.051000,7.105576,2.359085,0.003605,-0.000202,0.247220,-0.021822,-0.053040,-0.000001
0.052000,7.139209,2.432315,0.003817,-0.000222,0.254032,-0.023098,-0.054037,-0.000002
0.053000,7.173364,2.506833,0.004021,-0.000244,0.260859,-0.024402,-0.055033,-0.000002
0.054000,7.204523,2.581039,0.004242,-0.000254,0.267698,-0.025734,-0.056029,-0.000002
0.055000,7.233603,2.658418,0.004471,-0.000293,0.274545,-0.027091,-0.057025,-0.000002
0.056000,7.261999,2.735686,0.004702,-0.000320,0.281401,-0.028473,-0.058020,-0.000003
0.057000,7.288443,2.813297,0.004944,-0.000343,0.288262,-0.029881,-0.059016,-0.000003
0.058000,7.310558,2.891729,0.005212,-0.000370,0.295125,-0.031313,-0.060011,-0.000003
0.059000,7.335647,2.970924,0.005460,-0.000393,0.301990,-0.032769,-0.061006,-0.000004
0.060000,7.356650,3.051894,0.005732,-0.000432,0.308856,-0.034247,-0.062000,-0.000004
0.061000,7.376210,3.131492,0.006015,-0.000447,0.315718,-0.035749,-0.062994,-0.000004
0.062000,7.395720,3.213080,0.006297,-0.000477,0.322578,-0.037271,-0.063989,-0.000005
0.063000,7.413826,3.296129,0.006587,-0.000517,0.329432,-0.038814,-0.064982,-0.000005
0.064000,7.430207,3.378340,0.006891,-0.000542,0.336280,-0.040377,-0.065976,-0.000006
0.065000,7.446863,3.461644,0.007193,-0.000571,0.343122,-0.041960,-0.066969,-0.000006
0.066000,7.461978,3.546078,0.007506,-0.000607,0.349954,-0.043560,-0.067962,-0.000007
0.067000,7.473615,3.630833,0.007842,-0.000645,0.356774,-0.045179,-0.068954,-0.000008
0.068000,7.488649,3.716181,0.008159,-0.000679,0.363585,-0.046814,-0.069946,-0.000008
0.069000,7.500833,3.801750,0.008496,-0.000712,0.370384,-0.048466,-0.070938,-0.000009
0.070000,7.512523,3.886923,0.008839,-0.000735,0.377169,-0.050135,-0.071930,-0.000010
0.071000,7.519804,3.974788,0.009211,-0.000789,0.383937,-0.051818,-0.072921,-0.000010
0.072000,7.530889,4.061195,0.009564,-0.000816,0.390691,-0.053516,-0.073912,-0.000011
0.073000,7.540180,4.148902,0.009930,-0.000856,0.397428,-0.055227,-0.074902,-0.000012
0.074000,7.546810,4.237616,0.010315,-0.000905,0.404147,-0.056951,-0.075892,-0.000013
0.075000,7.557347,4.325058,0.010681,-0.000931,0.410850,-0.058688,-0.076882,-0.000014
0.076000,7.565499,4.415591,0.011063,-0.000991,0.417535,-0.060435,-0.077871,-0.000015
0.077000,7.569014,4.503763,0.011479,-0.001025,0.424197,-0.062195,-0.078860,-0.000015
0.078000,7.572802,4.594688,0.011897,-0.001088,0.430837,-0.063963,-0.079849,-0.000016
0.079000,7.579239,4.685205,0.012303,-0.001140,0.437457,-0.065740,-0.080837,-0.000018
0.080000,7.584408,4.776047,0.012721,-0.001195,0.444055,-0.067526,-0.081825,-0.000019
0.081000,7.588209,4.866557,0.013152,-0.001245,0.450631,-0.069320,-0.082812,-0.000020
0.082000,7.590058,4.957301,0.013600,-0.001298,0.457181,-0.071122,-0.083799,-0.000021
0.083000,7.592277,5.050295,0.014049,-0.001374,0.463706,-0.072930,-0.084785,-0.000022
0.084000,7.591290,5.141209,0.014525,-0.001429,0.470204,-0.074744,-0.085771,-0.000024
0.085000,7.590007,5.232954,0.015008,-0.001493,0.476673,-0.076564,-0.086757,-0.000025
0.086000,7.592073,5.325156,0.015475,-0.001556,0.483116,-0.078389,-0.087742,-0.000027
0.087000,7.589320,5.417593,0.015978,-0.001628,0.489530,-0.080218,-0.088726,-0.000028
0.088000,7.589504,5.508703,0.016469,-0.001680,0.495916,-0.082053,-0.089710,-0.000030
0.089000,7.588862,5.602324,0.016970,-0.001761,0.502274,-0.083889,-0.090694,-0.000031
0.090000,7.585673,5.693482,0.017493,-0.001817,0.508601,-0.085730,-0.091677,-0.000033
0.091000,7.586691,5.786556,0.017995,-0.001890,0.514902,-0.087572,-0.092659,-0.000035
0.092000,7.583415,5.880715,0.018529,-0.001981,0.521172,-0.089415,-0.093641,-0.000037
0.093000,7.581813,5.971653,0.019060,-0.002033,0.527412,-0.091261,-0.094623,-0.000039
0.094000,7.580195,6.064295,0.019596,-0.002106,0.533624,-0.093108,-0.095604,-0.000041
0.095000,7.576782,6.157582,0.020149,-0.002189,0.539804,-0.094955,-0.096584,-0.000043
0.096000,7.576548,6.250332,0.020688,-0.002263,0.545956,-0.096801,-0.097564,-0.000045
0.097000,7.572577,6.342426,0.021257,-0.002335,0.552077,-0.098648,-0.098543,-0.000047
0.098000,7.567536,6.433913,0.021839,-0.002403,0.558165,-0.100495,-0.099522,-0.000050
0.099000,7.563602,6.526780,0.022419,-0.002487,0.564221,-0.102341,-0.100500,-0.000052
0.100000,7.559539,6.619584,0.023007,-0.002572,0.570245,-0.104185,-0.101478,-0.000055
0.101000,7.555819,6.712160,0.023599,-0.002656,0.576238,-0.106026,-0.102454,-0.000057
0.102000,7.550577,6.804291,0.024207,-0.002740,0.582198,-0.107866,-0.103431,-0.000060
0.103000,7.548460,6.896986,0.024801,-0.002828,0.588129,-0.109702,-0.104407,-0.000062
0.104000,7.544026,6.989899,0.025415,-0.002924,0.594027,-0.111534,-0.105382,-0.000065
0.105000,7.542989,7.082066,0.026014,-0.003010,0.599897,-0.113362,-0.106356,-0.000068
0.106000,7.539431,7.174592,0.026634,-0.003106,0.605736,-0.115186,-0.107330,-0.000071
0.107000,7.540703,7.267250,0.027230,-0.003201,0.611549,-0.117005,-0.108304,-0.000074
0.108000,7.534531,7.358566,0.027878,-0.003292,0.617329,-0.118819,-0.109276,-0.000077
0.109000,7.537336,7.451146,0.028475,-0.003390,0.623084,-0.120628,-0.110249,-0.000081
0.110000,7.533997,7.543655,0.029115,-0.003498,0.628808,-0.122431,-0.111220,-0.000084
0.111000,7.532975,7.636177,0.029746,-0.003607,0.634505,-0.124227,-0.112191,-0.000088
0.112000,7.533583,7.729531,0.030372,-0.003728,0.640175,-0.126015,-0.113161,-0.000091
0.113000,7.529846,7.821477,0.031030,-0.003842,0.645815,-0.127796,-0.114131,-0.000095
0.114000,7.531784,7.911311,0.031660,-0.003928,0.651429,-0.129572,-0.115100,-0.000099
0.115000,7.530047,8.002529,0.032316,-0.004038,0.657016,-0.131341,-0.116068,-0.000103
0.116000,7.525314,8.094439,0.032996,-0.004164,0.662571,-0.133101,-0.117036,-0.000107
0.117000,7.526857,8.186061,0.033642,-0.004283,0.668102,-0.134854,-0.118003,-0.000111
0.118000,7.524443,8.276045,0.034319,-0.004392,0.673603,-0.136599,-0.118969,-0.000115
0.119000,7.526694,8.367463,0.034970,-0.004517,0.679081,-0.138336,-0.119935,-0.000119
0.120000,7.524937,8.456553,0.035652,-0.004623,0.684531,-0.140066,-0.120900,-0.000124
0.121000,7.524096,8.550028,0.036331,-0.004784,0.689954,-0.141784,-0.121864,-0.000129
0.122000,7.525343,8.638573,0.037004,-0.004890,0.695352,-0.143494,-0.122828,-0.000133
0.123000,7.524385,8.730394,0.037693,-0.005041,0.700724,-0.145194,-0.123791,-0.000138
0.124000,7.519797,8.819594,0.038411,-0.005172,0.706066,-0.146886,-0.124753,-0.000143
0.125000,7.521131,8.909450,0.039096,-0.005307,0.711384,-0.148567,-0.125715,-0.000148
0.126000,7.519210,8.999281,0.039807,-0.005451,0.716675,-0.150239,-0.126676,-0.000154
0.127000,7.520152,9.089409,0.040503,-0.005600,0.721941,-0.151899,-0.127636,-0.000159
0.128000,7.521204,9.178696,0.041204,-0.005744,0.727184,-0.153550,-0.128596,-0.000165
0.129000,7.520112,9.268307,0.041921,-0.005900,0.732401,-0.155189,-0.129554,-0.000170
0.130000,7.522030,9.355760,0.042625,-0.006032,0.737595,-0.156819,-0.130512,-0.000176
0.131000,7.522569,9.445351,0.043341,-0.006196,0.742765,-0.158438,-0.131470,-0.000182
0.132000,7.524299,9.532887,0.044053,-0.006339,0.747913,-0.160047,-0.132427,-0.000189
0.133000,7.525182,9.619343,0.044776,-0.006476,0.753038,-0.161646,-0.133383,-0.000195
0.134000,7.527352,9.708602,0.045492,-0.006649,0.758140,-0.163233,-0.134338,-0.000201
0.135000,7.527969,9.797280,0.046222,-0.006823,0.763220,-0.164808,-0.135292,-0.000208
0.136000,7.527769,9.883523,0.046962,-0.006975,0.768275,-0.166373,-0.136246,-0.000215
0.137000,7.527862,9.969947,0.047704,-0.007133,0.773308,-0.167927,-0.137199,-0.000222
0.138000,7.529359,10.057869,0.048440,-0.007313,0.778318,-0.169468,-0.138152,-0.000229
0.139000,7.525900,10.145812,0.049211,-0.007505,0.783302,-0.170997,-0.139103,-0.000236
0.140000,7.527246,10.231911,0.049956,-0.007676,0.788264,-0.172515,-0.140054,-0.000244
0.141000,7.528589,10.316639,0.050706,-0.007835,0.793205,-0.174022,-0.141004,-0.000251
0.142000,7.523092,10.401743,0.051502,-0.008013,0.798118,-0.175519,-0.141953,-0.000259
0.143000,7.519232,10.486134,0.052293,-0.008186,0.803004,-0.177004,-0.142902,-0.000267
