t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000439,-0.000708,-0.000003,0.000008,0.000000,-0.000001,-0.001000,0.000000
0.002000,0.316295,0.001145,0.000012,-0.000006,0.000317,0.000000,-0.002000,0.000000
0.003000,0.624025,0.000380,0.000005,0.000010,0.000941,0.000001,-0.003000,0.000000
0.004000,0.920272,0.001391,-0.000001,0.000005,0.001861,0.000002,-0.004000,0.000000
0.005000,1.202050,0.002395,0.000016,0.000000,0.003063,0.000005,-0.005000,0.000000
0.006000,1.478527,0.002520,0.000001,0.000005,0.004542,0.000007,-0.006000,0.000000
0.007000,1.743046,0.003004,-0.000002,0.000006,0.006285,0.000010,-0.007000,0.000000
0.008000,1.995299,0.004430,0.000011,-0.000005,0.008280,0.000015,-0.008000,0.000000
0.009000,2.240084,0.003973,0.000012,0.000006,0.010520,0.000019,-0.009000,0.000000
0.010000,2.475569,0.004033,0.000016,0.000011,0.012996,0.000023,-0.010000,0.000000
0.011000,2.702241,0.005378,0.000021,0.000000,0.015698,0.000028,-0.011000,0.000000
0.012000,2.920645,0.004821,0.000026,0.000012,0.018618,0.000033,-0.012000,0.000000
0.013000,3.132021,0.006329,0.000025,-0.000001,0.021751,0.000039,-0.013000,0.000000
0.014000,3.332057,0.006545,0.000046,0.000001,0.025083,0.000046,-0.014000,0.000000
0.015000,3.528554,0.007496,0.000043,-0.000006,0.028611,0.000053,-0.015000,0.000000
0.016000,3.712999,0.007437,0.000072,-0.000001,0.032324,0.000061,-0.016000,0.000000
0.017000,3.893576,0.006921,0.000081,0.000009,0.036218,0.000067,-0.017000,0.000000
0.018000,4.064042,0.007359,0.000113,0.000009,0.040282,0.000075,-0.018000,0.000000
0.019000,4.232789,0.009691,0.000116,-0.000015,0.044515,0.000085,-0.019000,0.000000
0.020000,4.390633,0.008709,0.000150,-0.000000,0.048905,0.000093,-0.020000,0.000000
0.021000,4.542619,0.010635,0.000183,-0.000020,0.053448,0.000104,-0.020999,0.000000
0.022000,4.689027,0.009256,0.000217,-0.000001,0.058137,0.000113,-0.021999,0.000000
0.023000,4.832504,0.010065,0.000235,-0.000007,0.062969,0.000123,-0.022999,0.000000
0.024000,4.966973,0.009272,0.000277,0.000005,0.067936,0.000132,-0.023999,0.000000
0.025000,5.097162,0.010957,0.000315,-0.000011,0.073033,0.000143,-0.024999,0.000000
0.026000,5.223471,0.010308,0.000347,-0.000001,0.078257,0.000154,-0.025998,0.000000
0.027000,5.342113,0.010053,0.000398,0.000005,0.083599,0.000164,-0.026998,0.000000
0.028000,5.457153,0.010356,0.000445,0.000004,0.089056,0.000174,-0.027998,0.000000
