t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.421700,0.000962,0.000000,0.000000,0.000108,-0.000000,-0.001338,0.000000
0.001000,0.422693,0.001935,-0.000006,-0.000012,0.000531,0.000002,-0.002338,-0.000000
0.002000,0.725818,0.003063,-0.000009,-0.000017,0.001257,0.000005,-0.003338,-0.000000
0.003000,1.014833,0.001231,0.000007,0.000012,0.002272,0.000006,-0.004338,-0.000000
0.004000,1.296498,0.002742,0.000003,0.000002,0.003568,0.000009,-0.005338,-0.000000
0.005000,1.569198,0.003264,-0.000010,0.000003,0.005137,0.000012,-0.006338,-0.000000
0.006000,1.829351,0.004699,-0.000006,-0.000007,0.006967,0.000017,-0.007338,-0.000000
0.007000,2.079024,0.003605,0.000003,0.000012,0.009046,0.000020,-0.008338,-0.000000
0.008000,2.321066,0.005380,0.000003,-0.000002,0.011367,0.000026,-0.009338,-0.000000
0.009000,2.553134,0.005167,0.000009,0.000007,0.013920,0.000031,-0.010338,0.000000
0.010000,2.776797,0.006063,0.000016,0.000002,0.016697,0.000037,-0.011338,0.000000
0.011000,2.991522,0.006999,0.000026,-0.000003,0.019688,0.000044,-0.012338,0.000000
0.012000,3.200326,0.007438,0.000025,-0.000003,0.022888,0.000051,-0.013338,-0.000000
0.013000,3.399050,0.007355,0.000039,0.000004,0.026288,0.000059,-0.014338,0.000000
0.014000,3.592717,0.007504,0.000038,0.000007,0.029880,0.000066,-0.015338,0.000000
0.015000,3.774605,0.008799,0.000068,-0.000003,0.033655,0.000075,-0.016338,0.000000
0.016000,3.952034,0.008912,0.000083,0.000000,0.037607,0.000084,-0.017338,0.000000
0.017000,4.121895,0.009946,0.000106,-0.000008,0.041729,0.000094,-0.018338,-0.000000
0.018000,4.285550,0.009526,0.000128,0.000002,0.046014,0.000104,-0.019338,0.000000
0.019000,4.440951,0.009312,0.000164,0.000008,0.050455,0.000113,-0.020337,0.000000
0.020000,4.593876,0.010180,0.000180,0.000002,0.055049,0.000123,-0.021337,0.000000
0.021000,4.738484,0.010950,0.000213,-0.000003,0.059788,0.000134,-0.022337,0.000000
0.022000,4.877393,0.010785,0.000249,0.000003,0.064665,0.000145,-0.023337,0.000000
0.023000,5.012361,0.011971,0.000277,-0.000008,0.069677,0.000157,-0.024337,0.000000
0.024000,5.139476,0.011342,0.000324,0.000003,0.074817,0.000168,-0.025337,0.000000
0.025000,5.263703,0.011627,0.000359,0.000003,0.080081,0.000180,-0.026336,0.000000
0.026000,5.377911,0.012844,0.000429,-0.000008,0.085458,0.000193,-0.027336,-0.000000
0.027000,5.492712,0.012539,0.000469,-0.000002,0.090951,0.000205,-0.028336,-0.000000
0.028000,5.601402,0.012866,0.000521,-0.000003,0.096553,0.000218,-0.029335,-0.000000
0.029000,5.704620,0.013985,0.000582,-0.000014,0.102257,0.000232,-0.030335,-0.000000
0.030000,5.801569,0.013304,0.000659,-0.000003,0.108059,0.000245,-0.031334,-0.000000
0.031000,5.895878,0.013064,0.000730,0.000002,0.113955,0.000258,-0.032333,-0.000000
0.032000,5.985732,0.013687,0.000807,-0.000003,0.119940,0.000272,-0.033333,-0.000000
0.033000,6.068452,0.014286,0.000908,-0.000008,0.126009,0.000286,-0.034332,-0.000000
0.034000,6.149251,0.015464,0.001003,-0.000020,0.132158,0.000302,-0.035331,-0.000000
0.035000,6.226495,0.013326,0.001101,0.000007,0.138385,0.000315,-0.036330,-0.000000
0.036000,6.302859,0.015718,0.001186,-0.000019,0.144687,0.000331,-0.037329,-0.000000
0.037000,6.371469,0.014494,0.001303,-0.000004,0.151059,0.000345,-0.038328,-0.000000
0.038000,6.440544,0.013336,0.001400,0.000012,0.157499,0.000359,-0.039327,-0.000000
0.039000,6.503228,0.014733,0.001522,-0.000003,0.164003,0.000373,-0.040325,-0.000000
0.040000,6.564098,0.014043,0.001641,0.000007,0.170567,0.000387,-0.041324,-0.000000
0.041000,6.621790,0.013648,0.001766,0.000014,0.177189,0.000401,-0.042322,-0.000000
0.042000,6.674191,0.015193,0.001910,-0.000003,0.183863,0.000416,-0.043320,-0.000000
0.043000,6.725815,0.013548,0.002047,0.000018,0.190589,0.000430,-0.044319,-0.000000
0.044000,6.772294,0.014582,0.002205,0.000008,0.197361,0.000444,-0.045317,-0.000000
0.045000,6.815718,0.014701,0.002371,0.000008,0.204177,0.000459,-0.046314,-0.000000
0.046000,6.858899,0.014341,0.002528,0.000013,0.211035,0.000473,-0.047312,-0.000000
0.047000,6.898408,0.014527,0.002698,0.000013,0.217934,0.000488,-0.048310,0.000000
0.048000,6.937311,0.014203,0.002862,0.000018,0.224871,0.000502,-0.049307,0.000000
0.049000,6.972987,0.015169,0.003038,0.000008,0.231844,0.000517,-0.050304,0.000000
0.050000,7.007277,0.015244,0.003214,0.000008,0.238851,0.000533,-0.051301,0.000000
0.051000,7.034215,0.015689,0.003428,0.000004,0.245886,0.000548,-0.052298,0.000000
0.052000,7.060006,0.014606,0.003643,0.000017,0.252946,0.000563,-0.053295,0.000000
0.053000,7.086370,0.014217,0.003848,0.000023,0.260032,0.000577,-0.054291,0.000000
0.054000,7.109795,0.014776,0.004065,0.000018,0.267142,0.000592,-0.055287,0.000000
0.055000,7.131428,0.015297,0.004288,0.000013,0.274273,0.000607,-0.056283,0.000000
0.056000,7.151292,0.015316,0.004516,0.000013,0.281425,0.000622,-0.057279,0.000000
0.057000,7.169994,0.015789,0.004747,0.000008,0.288595,0.000638,-0.058274,0.000000
0.058000,7.184602,0.015369,0.004999,0.000014,0.295779,0.000654,-0.059270,0.000000
0.059000,7.197620,0.015388,0.005257,0.000014,0.302977,0.000669,-0.060265,0.000000
0.060000,7.209851,0.015041,0.005517,0.000019,0.310187,0.000684,-0.061260,0.000000
0.061000,7.220781,0.014206,0.005782,0.000030,0.317407,0.000698,-0.062254,0.000000
0.062000,7.224228,0.014773,0.006091,0.000024,0.324632,0.000713,-0.063248,0.000000
0.063000,7.229992,0.015755,0.006385,0.000013,0.331862,0.000729,-0.064242,0.000000
0.064000,7.235544,0.013519,0.006678,0.000040,0.339097,0.000742,-0.065236,0.000000
0.065000,7.239127,0.014509,0.006981,0.000029,0.346336,0.000757,-0.066229,0.000000
0.066000,7.240802,0.015374,0.007295,0.000020,0.353577,0.000772,-0.067222,0.000000
0.067000,7.239643,0.015001,0.007627,0.000024,0.360817,0.000787,-0.068215,0.000000
0.068000,7.239421,0.015004,0.007952,0.000025,0.368056,0.000802,-0.069207,0.000000
0.069000,7.236543,0.014126,0.008293,0.000036,0.375293,0.000816,-0.070200,0.000000
0.070000,7.232104,0.013335,0.008644,0.000046,0.382525,0.000830,-0.071191,0.000000
0.071000,7.227272,0.013879,0.008999,0.000040,0.389752,0.000844,-0.072183,0.000001
0.072000,7.219874,0.015279,0.009370,0.000024,0.396972,0.000859,-0.073174,0.000001
0.073000,7.213906,0.014848,0.009733,0.000030,0.404186,0.000874,-0.074164,0.000001
0.074000,7.204928,0.012382,0.010116,0.000059,0.411391,0.000886,-0.075155,0.000001
0.075000,7.198820,0.014353,0.010481,0.000037,0.418590,0.000900,-0.076145,0.000001
0.076000,7.188244,0.013249,0.010877,0.000051,0.425778,0.000914,-0.077134,0.000001
0.077000,7.174543,0.013126,0.011293,0.000053,0.432952,0.000927,-0.078123,0.000001
0.078000,7.160427,0.012736,0.011715,0.000058,0.440113,0.000939,-0.079112,0.000001
0.079000,7.147245,0.013611,0.012134,0.000049,0.447260,0.000953,-0.080100,0.000001
0.080000,7.132629,0.012983,0.012564,0.000057,0.454393,0.000966,-0.081088,0.000001
0.081000,7.117536,0.013779,0.012999,0.000048,0.461510,0.000980,-0.082076,0.000001
0.082000,7.100440,0.013346,0.013450,0.000054,0.468611,0.000993,-0.083063,0.000001
0.083000,7.083990,0.013362,0.013900,0.000054,0.475695,0.001007,-0.084049,0.000001
0.084000,7.061747,0.013803,0.014390,0.000049,0.482756,0.001020,-0.085035,0.000001
0.085000,7.041032,0.012965,0.014874,0.000059,0.489797,0.001033,-0.086021,0.000001
0.086000,7.020938,0.014246,0.015358,0.000044,0.496818,0.001048,-0.087006,0.000001
0.087000,6.998567,0.014063,0.015861,0.000047,0.503817,0.001062,-0.087991,0.000001
