t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000902,0.000328,0.000006,0.000000,-0.000001,0.000000,-0.001000,0.000000
0.002000,0.298948,-0.105641,0.000006,0.000005,0.000298,-0.000105,-0.002000,0.000000
0.003000,0.587909,-0.207370,0.000006,0.000005,0.000888,-0.000308,-0.003000,0.000000
0.004000,0.866649,-0.304231,0.000007,-0.000011,0.001759,-0.000599,-0.004000,-0.000000
0.005000,1.135642,-0.400849,-0.000002,0.000004,0.002903,-0.000974,-0.005000,0.000000
0.006000,1.393357,-0.491591,0.000003,-0.000007,0.004311,-0.001422,-0.006000,-0.000000
0.007000,1.640460,-0.581589,0.000009,0.000008,0.005973,-0.001939,-0.007000,0.000000
0.008000,1.880725,-0.667079,0.000005,-0.000008,0.007883,-0.002516,-0.008000,0.000000
0.009000,2.109690,-0.751417,0.000012,-0.000003,0.010030,-0.003149,-0.009000,0.000000
0.010000,2.331603,-0.834189,0.000009,0.000001,0.012409,-0.003833,-0.010000,0.000000
0.011000,2.544175,-0.913997,0.000013,-0.000003,0.015011,-0.004561,-0.011000,0.000000
0.012000,2.748965,-0.991342,0.000016,-0.000017,0.017828,-0.005327,-0.012000,-0.000000
0.013000,2.944569,-1.068918,0.000024,-0.000007,0.020853,-0.006128,-0.013000,-0.000000
0.014000,3.132309,-1.143046,0.000038,-0.000019,0.024077,-0.006959,-0.014000,-0.000000
0.015000,3.313818,-1.218327,0.000041,-0.000010,0.027495,-0.007816,-0.015000,-0.000000
0.016000,3.487320,-1.290890,0.000053,-0.000015,0.031100,-0.008694,-0.016000,-0.000000
0.017000,3.653887,-1.361247,0.000069,-0.000035,0.034884,-0.009589,-0.017000,-0.000000
0.018000,3.813225,-1.431511,0.000088,-0.000046,0.038841,-0.010497,-0.018000,-0.000000
0.019000,3.964108,-1.501935,0.000118,-0.000040,0.042963,-0.011417,-0.019000,-0.000000
0.020000,4.110985,-1.570111,0.000140,-0.000061,0.047245,-0.012342,-0.020000,-0.000000
0.021000,4.251596,-1.638339,0.000163,-0.000076,0.051682,-0.013272,-0.021000,-0.000000
0.022000,4.385722,-1.705641,0.000193,-0.000096,0.056266,-0.014202,-0.021999,-0.000000
0.023000,4.513229,-1.773509,0.000229,-0.000103,0.060993,-0.015132,-0.022999,-0.000000
0.024000,4.637616,-1.839930,0.000256,-0.000134,0.065857,-0.016057,-0.023999,-0.000001
0.025000,4.753269,-1.906426,0.000304,-0.000149,0.070851,-0.016976,-0.024999,-0.000001
0.026000,4.868012,-1.973761,0.000329,-0.000172,0.075974,-0.017887,-0.025999,-0.000001
