t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000068,-0.000549,-0.000002,0.000006,0.000000,-0.000001,-0.001000,0.000000
0.002000,0.298819,-0.106392,0.000005,0.000006,0.000299,-0.000107,-0.002000,0.000000
0.003000,0.587961,-0.210319,-0.000000,0.000021,0.000888,-0.000313,-0.003000,0.000000
0.004000,0.865055,-0.307643,0.000009,0.000010,0.001758,-0.000607,-0.004000,0.000000
0.005000,1.133810,-0.402369,0.000005,-0.000001,0.002901,-0.000983,-0.005000,0.000000
0.006000,1.391461,-0.495613,0.000005,0.000009,0.004307,-0.001435,-0.006000,0.000000
0.007000,1.639248,-0.584990,0.000009,0.000008,0.005968,-0.001956,-0.007000,0.000000
0.008000,1.878367,-0.672169,0.000008,0.000009,0.007876,-0.002538,-0.008000,0.000000
0.009000,2.106727,-0.756291,0.000019,0.000008,0.010021,-0.003176,-0.009000,0.000000
0.010000,2.327141,-0.838492,0.000026,0.000006,0.012395,-0.003865,-0.010000,0.000000
0.011000,2.541824,-0.918196,0.000018,-0.000013,0.014995,-0.004597,-0.011000,0.000000
0.012000,2.746571,-0.998909,0.000015,0.000004,0.017811,-0.005371,-0.012000,0.000000
0.013000,2.940396,-1.074468,0.000037,-0.000005,0.020832,-0.006178,-0.013000,0.000000
0.014000,3.131444,-1.151482,0.000026,-0.000004,0.024056,-0.007017,-0.014000,0.000000
0.015000,3.311383,-1.223973,0.000044,-0.000024,0.027472,-0.007880,-0.015000,0.000000
0.016000,3.484222,-1.298217,0.000056,-0.000014,0.031075,-0.008766,-0.016000,0.000000
0.017000,3.648623,-1.369522,0.000083,-0.000019,0.034855,-0.009670,-0.017000,0.000000
0.018000,3.808502,-1.440983,0.000096,-0.000023,0.038809,-0.010588,-0.018000,0.000000
0.019000,3.959333,-1.510214,0.000129,-0.000033,0.042927,-0.011516,-0.019000,0.000000
0.020000,4.107648,-1.579512,0.000140,-0.000051,0.047207,-0.012452,-0.020000,-0.000000
0.021000,4.249404,-1.649092,0.000153,-0.000060,0.051643,-0.013393,-0.020999,-0.000000
0.022000,4.382071,-1.715281,0.000194,-0.000089,0.056226,-0.014333,-0.021999,-0.000000
0.023000,4.511321,-1.784519,0.000216,-0.000092,0.060953,-0.015274,-0.022999,-0.000000
0.024000,4.631135,-1.850103,0.000271,-0.000117,0.065813,-0.016210,-0.023999,-0.000000
0.025000,4.749512,-1.918519,0.000299,-0.000125,0.070805,-0.017142,-0.024999,-0.000000
0.026000,4.862790,-1.983527,0.000337,-0.000170,0.075925,-0.018063,-0.025998,-0.000001
