t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000299,0.000408,0.000003,-0.000003,-0.000000,0.000000,-0.001000,-0.000000
0.002000,0.301564,-0.100823,0.000000,0.000002,0.000301,-0.000100,-0.002000,-0.000000
0.003000,0.592855,-0.197001,-0.000002,-0.000009,0.000896,-0.000293,-0.003000,-0.000000
0.004000,0.874422,-0.289722,-0.000010,-0.000024,0.001774,-0.000569,-0.004000,-0.000000
0.005000,1.141733,-0.380018,0.000004,-0.000018,0.002925,-0.000923,-0.005000,-0.000000
0.006000,1.402178,-0.468670,-0.000003,-0.000010,0.004341,-0.001347,-0.006000,-0.000000
0.007000,1.652582,-0.554343,-0.000008,-0.000005,0.006014,-0.001837,-0.007000,-0.000000
0.008000,1.892158,-0.635806,0.000000,-0.000014,0.007933,-0.002382,-0.008000,-0.000000
0.009000,2.121872,-0.716553,0.000011,-0.000005,0.010091,-0.002980,-0.009000,-0.000000
0.010000,2.344755,-0.795503,0.000010,-0.000001,0.012480,-0.003624,-0.010000,-0.000000
0.011000,2.559240,-0.870508,0.000012,-0.000022,0.015094,-0.004307,-0.011000,-0.000000
0.012000,2.765582,-0.946613,0.000010,-0.000014,0.017924,-0.005027,-0.012000,-0.000000
0.013000,2.963474,-1.020044,0.000013,-0.000018,0.020963,-0.005779,-0.013000,-0.000000
0.014000,3.153950,-1.093292,0.000014,-0.000011,0.024204,-0.006557,-0.014000,-0.000000
0.015000,3.333346,-1.163060,0.000041,-0.000017,0.027635,-0.007357,-0.015000,-0.000000
0.016000,3.509607,-1.232346,0.000044,-0.000033,0.031255,-0.008175,-0.016000,-0.000000
0.017000,3.674621,-1.299710,0.000076,-0.000046,0.035053,-0.009006,-0.017000,-0.000000
0.018000,3.836696,-1.368917,0.000083,-0.000046,0.039024,-0.009849,-0.018000,-0.000000
0.019000,3.988651,-1.436277,0.000114,-0.000046,0.043161,-0.010700,-0.019000,-0.000000
0.020000,4.136179,-1.502569,0.000137,-0.000059,0.047457,-0.011555,-0.020000,-0.000000
0.021000,4.280119,-1.570059,0.000145,-0.000066,0.051911,-0.012414,-0.021000,-0.000000
0.022000,4.412105,-1.635563,0.000192,-0.000068,0.056509,-0.013270,-0.022000,-0.000000
0.023000,4.543219,-1.701555,0.000213,-0.000081,0.061251,-0.014124,-0.022999,-0.000000
0.024000,4.667154,-1.765566,0.000249,-0.000109,0.066130,-0.014971,-0.023999,-0.000001
0.025000,4.783373,-1.830989,0.000299,-0.000112,0.071138,-0.015810,-0.024999,-0.000001
0.026000,4.895616,-1.897370,0.000343,-0.000110,0.076271,-0.016641,-0.025999,-0.000001
