t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000171,-0.001192,-0.000003,0.000013,0.000000,-0.000001,-0.001000,0.000000
0.002000,0.307110,-0.080123,0.000004,0.000008,0.000307,-0.000081,-0.002000,0.000000
0.003000,0.602911,-0.157115,0.000009,0.000014,0.000911,-0.000234,-0.003000,0.000000
0.004000,0.890307,-0.231565,-0.000001,0.000014,0.001805,-0.000452,-0.004000,0.000000
0.005000,1.163186,-0.303032,0.000014,0.000019,0.002975,-0.000728,-0.005000,0.000000
0.006000,1.428678,-0.371673,0.000013,0.000008,0.004415,-0.001055,-0.006000,0.000000
0.007000,1.685179,-0.440450,0.000004,0.000018,0.006116,-0.001429,-0.007000,0.000000
0.008000,1.931715,-0.506088,-0.000001,0.000013,0.008069,-0.001843,-0.008000,0.000000
0.009000,2.165565,-0.568321,0.000018,-0.000002,0.010262,-0.002291,-0.009000,0.000000
0.010000,2.394861,-0.633076,0.000006,0.000012,0.012691,-0.002770,-0.010000,0.000000
0.011000,2.613363,-0.694239,0.000011,0.000006,0.015346,-0.003274,-0.011000,0.000000
0.012000,2.823830,-0.754414,0.000015,-0.000000,0.018219,-0.003798,-0.012000,0.000000
0.013000,3.027027,-0.814618,0.000013,0.000000,0.021303,-0.004339,-0.013000,0.000000
0.014000,3.219860,-0.873204,0.000028,-0.000002,0.024588,-0.004893,-0.014000,0.000000
0.015000,3.406355,-0.930202,0.000040,-0.000018,0.028068,-0.005454,-0.015000,0.000000
0.016000,3.584704,-0.989232,0.000053,-0.000005,0.031734,-0.006022,-0.016000,0.000000
0.017000,3.756037,-1.045587,0.000072,-0.000018,0.035581,-0.006592,-0.017000,0.000000
0.018000,3.918486,-1.102754,0.000104,-0.000013,0.039598,-0.007161,-0.018000,0.000000
0.019000,4.076889,-1.158895,0.000123,-0.000025,0.043782,-0.007726,-0.019000,0.000000
0.020000,4.228035,-1.216167,0.000148,-0.000022,0.048126,-0.008285,-0.020000,0.000000
0.021000,4.374022,-1.272190,0.000171,-0.000036,0.052625,-0.008836,-0.021000,0.000000
0.022000,4.513421,-1.328942,0.000199,-0.000042,0.057271,-0.009375,-0.021999,0.000000
0.023000,4.649899,-1.386907,0.000211,-0.000045,0.062061,-0.009903,-0.022999,-0.000000
0.024000,4.773072,-1.443211,0.000275,-0.000046,0.066983,-0.010415,-0.023999,-0.000000
0.025000,4.896840,-1.500418,0.000305,-0.000059,0.072036,-0.010911,-0.024999,-0.000000
0.026000,5.013394,-1.558380,0.000350,-0.000062,0.077213,-0.011389,-0.025998,-0.000000
