t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000902,0.000877,0.000007,-0.000006,-0.000001,0.000001,-0.001000,-0.000000
0.002000,0.299381,-0.108231,-0.000002,0.000006,0.000298,-0.000107,-0.002000,-0.000000
0.003000,0.587188,-0.211714,0.000001,0.000005,0.000887,-0.000315,-0.003000,0.000000
0.004000,0.864583,-0.312105,0.000002,0.000010,0.001757,-0.000613,-0.004000,0.000000
0.005000,1.131768,-0.408710,0.000004,0.000010,0.002898,-0.000996,-0.005000,0.000000
0.006000,1.391088,-0.502898,-0.000008,0.000009,0.004304,-0.001455,-0.006000,0.000000
0.007000,1.636305,-0.592641,0.000009,0.000008,0.005962,-0.001983,-0.007000,0.000000
0.008000,1.876015,-0.681730,0.000001,0.000013,0.007867,-0.002576,-0.008000,0.000000
0.009000,2.104155,-0.766545,0.000012,0.000008,0.010010,-0.003224,-0.009000,0.000000
0.010000,2.325021,-0.850283,0.000012,0.000008,0.012384,-0.003924,-0.010000,0.000000
0.011000,2.538034,-0.931585,0.000010,0.000001,0.014981,-0.004670,-0.011000,0.000000
0.012000,2.738468,-1.010283,0.000036,0.000002,0.017789,-0.005456,-0.012000,0.000000
0.013000,2.937691,-1.089049,0.000021,-0.000006,0.020809,-0.006278,-0.013000,0.000000
0.014000,3.125006,-1.164325,0.000034,-0.000020,0.024028,-0.007130,-0.014000,0.000000
0.015000,3.304293,-1.238967,0.000051,-0.000025,0.027439,-0.008009,-0.015000,0.000000
0.016000,3.477211,-1.313936,0.000062,-0.000018,0.031036,-0.008911,-0.016000,0.000000
0.017000,3.641807,-1.385674,0.000086,-0.000029,0.034812,-0.009831,-0.017000,0.000000
0.018000,3.803082,-1.459607,0.000086,-0.000021,0.038762,-0.010769,-0.018000,0.000000
0.019000,3.954132,-1.528889,0.000116,-0.000041,0.042878,-0.011716,-0.019000,-0.000000
0.020000,4.099447,-1.598604,0.000143,-0.000052,0.047153,-0.012671,-0.020000,-0.000000
0.021000,4.239134,-1.668731,0.000168,-0.000055,0.051582,-0.013633,-0.020999,-0.000000
0.022000,4.371919,-1.737703,0.000201,-0.000062,0.056159,-0.014597,-0.021999,-0.000000
0.023000,4.500395,-1.806194,0.000229,-0.000077,0.060878,-0.015561,-0.022999,-0.000000
0.024000,4.621465,-1.872928,0.000274,-0.000101,0.065733,-0.016520,-0.023999,-0.000000
0.025000,4.737270,-1.940846,0.000318,-0.000111,0.070718,-0.017475,-0.024999,-0.000000
0.026000,4.851737,-2.008186,0.000344,-0.000142,0.075832,-0.018423,-0.025998,-0.000001
