t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.412594,-0.149296,0.000000,0.000000,0.000121,-0.000044,-0.001395,-0.000000
0.001000,0.413216,-0.148097,-0.000001,-0.000016,0.000534,-0.000190,-0.002395,-0.000000
0.002000,0.696587,-0.250759,0.000002,-0.000015,0.001234,-0.000433,-0.003395,-0.000000
0.003000,0.969340,-0.350732,0.000005,-0.000005,0.002210,-0.000765,-0.004395,-0.000000
0.004000,1.232977,-0.446348,0.000004,-0.000011,0.003454,-0.001178,-0.005395,-0.000000
0.005000,1.485544,-0.538405,0.000012,-0.000018,0.004957,-0.001665,-0.006395,-0.000000
0.006000,1.729447,-0.628705,0.000013,-0.000017,0.006712,-0.002219,-0.007395,-0.000000
0.007000,1.964993,-0.717186,0.000008,-0.000013,0.008710,-0.002835,-0.008395,-0.000000
0.008000,2.190465,-0.804329,0.000007,0.000007,0.010943,-0.003509,-0.009395,-0.000000
0.009000,2.407839,-0.886660,0.000010,-0.000003,0.013404,-0.004232,-0.010395,-0.000000
0.010000,2.617317,-0.965974,0.000012,-0.000029,0.016084,-0.004997,-0.011395,-0.000000
0.011000,2.816693,-1.045347,0.000024,-0.000027,0.018976,-0.005801,-0.012395,-0.000000
0.012000,3.011216,-1.123650,0.000018,-0.000033,0.022074,-0.006640,-0.013395,-0.000000
0.013000,3.194517,-1.199714,0.000035,-0.000033,0.025368,-0.007508,-0.014395,-0.000000
0.014000,3.371543,-1.274271,0.000048,-0.000041,0.028852,-0.008402,-0.015395,-0.000000
0.015000,3.540695,-1.347546,0.000067,-0.000048,0.032519,-0.009317,-0.016395,-0.000000
0.016000,3.702543,-1.420441,0.000090,-0.000047,0.036361,-0.010249,-0.017395,-0.000000
0.017000,3.859983,-1.492973,0.000099,-0.000051,0.040375,-0.011197,-0.018394,-0.000000
0.018000,4.009700,-1.563355,0.000121,-0.000064,0.044553,-0.012155,-0.019394,-0.000000
0.019000,4.151621,-1.632746,0.000154,-0.000077,0.048887,-0.013119,-0.020394,-0.000000
0.020000,4.290158,-1.702065,0.000174,-0.000095,0.053374,-0.014088,-0.021394,-0.000001
0.022000,4.416468,-1.766980,0.000295,-0.000146,0.062629,-0.016021,-0.023394,-0.000001
0.023000,4.672790,-1.907296,0.000272,-0.000149,0.067542,-0.016989,-0.024394,-0.000001
0.024000,4.788280,-1.973259,0.000309,-0.000190,0.072586,-0.017949,-0.025393,-0.000001
0.025000,4.896270,-2.041922,0.000357,-0.000194,0.077751,-0.018902,-0.026393,-0.000001
0.026000,5.000351,-2.109896,0.000404,-0.000209,0.083035,-0.019845,-0.027393,-0.000001
0.027000,5.100528,-2.176987,0.000451,-0.000237,0.088433,-0.020777,-0.028392,-0.000002
0.028000,5.196403,-2.244614,0.000498,-0.000263,0.093941,-0.021695,-0.029392,-0.000002
0.029000,5.285562,-2.310992,0.000565,-0.000296,0.099552,-0.022597,-0.030391,-0.000002
0.030000,5.370439,-2.378540,0.000633,-0.000320,0.105262,-0.023482,-0.031391,-0.000002
0.031000,5.450438,-2.446362,0.000710,-0.000340,0.111064,-0.024350,-0.032390,-0.000003
0.032000,5.529076,-2.513484,0.000777,-0.000383,0.116959,-0.025197,-0.033390,-0.000003
0.033000,5.601969,-2.582330,0.000856,-0.000404,0.122938,-0.026025,-0.034389,-0.000004
0.034000,5.669727,-2.650802,0.000949,-0.000427,0.128999,-0.026832,-0.035388,-0.000004
0.035000,5.734034,-2.719612,0.001046,-0.000452,0.135135,-0.027616,-0.036387,-0.000004
0.036000,5.795138,-2.788769,0.001146,-0.000480,0.141344,-0.028378,-0.037386,-0.000005
0.037000,5.851564,-2.856994,0.001262,-0.000517,0.147622,-0.029115,-0.038385,-0.000005
0.038000,5.907034,-2.927636,0.001365,-0.000543,0.153965,-0.029828,-0.039384,-0.000006
0.039000,5.959519,-2.999407,0.001471,-0.000563,0.160372,-0.030518,-0.040383,-0.000006
0.040000,6.007876,-3.070621,0.001590,-0.000590,0.166838,-0.031183,-0.041381,-0.000007
0.041000,6.055204,-3.141997,0.001704,-0.000628,0.173361,-0.031823,-0.042380,-0.000007
0.042000,6.095736,-3.214772,0.001844,-0.000642,0.179934,-0.032437,-0.043378,-0.000008
0.043000,6.135218,-3.287372,0.001982,-0.000669,0.186556,-0.033025,-0.044376,-0.000009
0.044000,6.171136,-3.360328,0.002132,-0.000695,0.193222,-0.033587,-0.045374,-0.000009
0.045000,6.204324,-3.432992,0.002290,-0.000729,0.199931,-0.034122,-0.046372,-0.000010
0.046000,6.236675,-3.507489,0.002442,-0.000756,0.206679,-0.034631,-0.047370,-0.000011
0.047000,6.264813,-3.582956,0.002610,-0.000771,0.213463,-0.035113,-0.048367,-0.000012
0.048000,6.293652,-3.656417,0.002772,-0.000825,0.220284,-0.035568,-0.049365,-0.000012
0.049000,6.317005,-3.731300,0.002958,-0.000857,0.227134,-0.035995,-0.050362,-0.000013
0.050000,6.340159,-3.807687,0.003137,-0.000886,0.234014,-0.036396,-0.051359,-0.000014
0.051000,6.361648,-3.884769,0.003319,-0.000916,0.240922,-0.036770,-0.052356,-0.000015
0.052000,6.379210,-3.961737,0.003521,-0.000944,0.247853,-0.037118,-0.053353,-0.000016
0.053000,6.392469,-4.038713,0.003744,-0.000968,0.254802,-0.037439,-0.054349,-0.000017
0.054000,6.407341,-4.114926,0.003957,-0.001019,0.261771,-0.037732,-0.055346,-0.000018
0.055000,6.419957,-4.195079,0.004173,-0.001032,0.268757,-0.038000,-0.056342,-0.000019
0.056000,6.430078,-4.270833,0.004411,-0.001093,0.275757,-0.038240,-0.057338,-0.000020
0.057000,6.440254,-4.352061,0.004635,-0.001109,0.282771,-0.038456,-0.058333,-0.000021
0.058000,6.448667,-4.433598,0.004868,-0.001125,0.289796,-0.038648,-0.059329,-0.000022
0.059000,6.452517,-4.511910,0.005133,-0.001168,0.296828,-0.038813,-0.060324,-0.000023
0.060000,6.456415,-4.592091,0.005394,-0.001202,0.303867,-0.038952,-0.061319,-0.000024
0.061000,6.459582,-4.672542,0.005659,-0.001240,0.310911,-0.039067,-0.062313,-0.000025
0.062000,6.460904,-4.753899,0.005933,-0.001271,0.317958,-0.039157,-0.063308,-0.000027
0.063000,6.460595,-4.835371,0.006217,-0.001304,0.325006,-0.039223,-0.064302,-0.000028
0.064000,6.456541,-4.917434,0.006523,-0.001325,0.332051,-0.039265,-0.065296,-0.000029
0.065000,6.453957,-5.000352,0.006821,-0.001350,0.339093,-0.039285,-0.066289,-0.000031
0.066000,6.451231,-5.082007,0.007124,-0.001397,0.346134,-0.039281,-0.067282,-0.000032
0.067000,6.443945,-5.165101,0.007452,-0.001419,0.353167,-0.039254,-0.068275,-0.000033
0.068000,6.440436,-5.248872,0.007759,-0.001456,0.360196,-0.039205,-0.069268,-0.000035
0.069000,6.433587,-5.333590,0.008086,-0.001477,0.367218,-0.039136,-0.070260,-0.000036
0.070000,6.426500,-5.418202,0.008417,-0.001504,0.374232,-0.039046,-0.071252,-0.000038
0.071000,6.415117,-5.500966,0.008780,-0.001541,0.381232,-0.038933,-0.072244,-0.000039
0.072000,6.403625,-5.586393,0.009142,-0.001555,0.388220,-0.038801,-0.073235,-0.000041
0.073000,6.392514,-5.671957,0.009504,-0.001575,0.395195,-0.038650,-0.074226,-0.000042
0.074000,6.384159,-5.757410,0.009855,-0.001612,0.402158,-0.038479,-0.075216,-0.000044
0.075000,6.370887,-5.843200,0.010236,-0.001632,0.409107,-0.038290,-0.076206,-0.000045
0.076000,6.357751,-5.927434,0.010625,-0.001673,0.416039,-0.038081,-0.077196,-0.000047
0.077000,6.344449,-6.014503,0.011012,-0.001689,0.422954,-0.037855,-0.078186,-0.000049
0.078000,6.327436,-6.100098,0.011429,-0.001709,0.429850,-0.037610,-0.079175,-0.000050
0.079000,6.309034,-6.184172,0.011862,-0.001745,0.436723,-0.037347,-0.080163,-0.000052
0.080000,6.296155,-6.273442,0.012257,-0.001750,0.443579,-0.037070,-0.081151,-0.000054
0.081000,6.279155,-6.358658,0.012688,-0.001786,0.450414,-0.036774,-0.082139,-0.000055
0.082000,6.259496,-6.443634,0.013141,-0.001817,0.457225,-0.036462,-0.083126,-0.000057
0.083000,6.243268,-6.531329,0.013573,-0.001835,0.464016,-0.036135,-0.084113,-0.000059
0.084000,6.225493,-6.618370,0.014021,-0.001857,0.470783,-0.035793,-0.085100,-0.000061
0.085000,6.200697,-6.702731,0.014521,-0.001882,0.477521,-0.035434,-0.086086,-0.000063
0.086000,6.183410,-6.790229,0.014977,-0.001906,0.484236,-0.035061,-0.087071,-0.000065
0.087000,6.159148,-6.875969,0.015482,-0.001922,0.490921,-0.034674,-0.088056,-0.000066
0.088000,6.138441,-6.961502,0.015974,-0.001956,0.497579,-0.034272,-0.089041,-0.000068
0.089000,6.117394,-7.047961,0.016472,-0.001981,0.504211,-0.033856,-0.090025,-0.000070
0.090000,6.094596,-7.132866,0.016989,-0.002016,0.510813,-0.033425,-0.091008,-0.000072
0.091000,6.070205,-7.218277,0.017520,-0.002042,0.517385,-0.032982,-0.091991,-0.000074
0.092000,6.047527,-7.305210,0.018046,-0.002058,0.523927,-0.032526,-0.092974,-0.000076
0.093000,6.023513,-7.390520,0.018588,-0.002086,0.530438,-0.032058,-0.093956,-0.000078
0.094000,6.000733,-7.477147,0.019127,-0.002106,0.536920,-0.031578,-0.094937,-0.000080
0.095000,5.977389,-7.560595,0.019682,-0.002158,0.543371,-0.031085,-0.095918,-0.000083
0.096000,5.952634,-7.647168,0.020246,-0.002172,0.549790,-0.030582,-0.096898,-0.000085
0.097000,5.930589,-7.732897,0.020802,-0.002204,0.556179,-0.030068,-0.097878,-0.000087
0.098000,5.908602,-7.818357,0.021364,-0.002240,0.562539,-0.029543,-0.098857,-0.000089
0.099000,5.883821,-7.903638,0.021949,-0.002266,0.568866,-0.029009,-0.099836,-0.000091
0.100000,5.856737,-7.988862,0.022555,-0.002282,0.575158,-0.028465,-0.100814,-0.000094
0.101000,5.830953,-8.073697,0.023160,-0.002307,0.581416,-0.027911,-0.101791,-0.000096
0.102000,5.805161,-8.157906,0.023774,-0.002337,0.587639,-0.027348,-0.102768,-0.000098
0.103000,5.778975,-8.240893,0.024400,-0.002378,0.593829,-0.026774,-0.103744,-0.000101
0.104000,5.754845,-8.326813,0.025014,-0.002394,0.599985,-0.026193,-0.104720,-0.000103
0.105000,5.729326,-8.409975,0.025649,-0.002432,0.606107,-0.025604,-0.105695,-0.000105
0.106000,5.710442,-8.498564,0.026240,-0.002437,0.612202,-0.025011,-0.106669,-0.000108
0.107000,5.686921,-8.582769,0.026873,-0.002468,0.618264,-0.024410,-0.107643,-0.000110
0.108000,5.667232,-8.667739,0.027488,-0.002505,0.624297,-0.023804,-0.108616,-0.000113
0.109000,5.644660,-8.751866,0.028127,-0.002537,0.630299,-0.023192,-0.109589,-0.000115
