t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000060,-0.000420,0.000000,0.000005,-0.000000,-0.000000,-0.001000,0.000000
0.002000,0.317662,0.000739,0.000003,-0.000006,0.000318,0.000000,-0.002000,-0.000000
0.003000,0.624198,-0.000366,0.000003,0.000009,0.000942,-0.000000,-0.003000,0.000000
0.004000,0.918889,0.000344,0.000007,0.000004,0.001861,0.000000,-0.004000,0.000000
0.005000,1.203635,0.000089,0.000006,0.000009,0.003064,0.000000,-0.005000,0.000000
0.006000,1.479282,0.000714,-0.000004,0.000004,0.004544,0.000001,-0.006000,0.000000
0.007000,1.741879,0.000596,0.000005,0.000008,0.006285,0.000002,-0.007000,0.000000
0.008000,1.995960,0.000906,0.000006,0.000006,0.008281,0.000003,-0.008000,0.000000
0.009000,2.238908,0.001263,0.000020,0.000004,0.010520,0.000004,-0.009000,0.000000
0.010000,2.475996,0.001407,0.000014,0.000005,0.012996,0.000005,-0.010000,0.000000
0.011000,2.701017,0.002058,0.000029,-0.000001,0.015697,0.000007,-0.011000,0.000000
0.012000,2.922328,0.001756,0.000015,0.000004,0.018620,0.000009,-0.012000,0.000000
0.013000,3.132247,0.001879,0.000023,0.000004,0.021752,0.000011,-0.013000,0.000000
0.014000,3.333907,0.000737,0.000034,0.000020,0.025086,0.000012,-0.014000,0.000000
0.015000,3.527569,0.002127,0.000049,0.000005,0.028613,0.000014,-0.015000,0.000000
0.016000,3.714708,0.001552,0.000060,0.000014,0.032328,0.000015,-0.016000,0.000000
0.017000,3.893102,0.001661,0.000084,0.000014,0.036221,0.000017,-0.017000,0.000000
0.018000,4.065306,0.001785,0.000105,0.000015,0.040287,0.000019,-0.018000,0.000000
0.019000,4.230822,0.002381,0.000128,0.000009,0.044517,0.000021,-0.019000,0.000000
0.020000,4.390149,0.002913,0.000152,0.000004,0.048908,0.000024,-0.020000,0.000000
0.021000,4.542943,0.003338,0.000181,0.000001,0.053450,0.000027,-0.020999,0.000000
0.022000,4.689492,0.003083,0.000214,0.000005,0.058140,0.000031,-0.021999,0.000000
0.023000,4.830715,0.003680,0.000246,-0.000001,0.062971,0.000034,-0.022999,0.000000
0.024000,4.967765,0.004079,0.000272,-0.000005,0.067938,0.000038,-0.023999,0.000000
0.025000,5.096437,0.003486,0.000319,0.000003,0.073035,0.000042,-0.024999,0.000000
0.026000,5.222590,0.002785,0.000352,0.000012,0.078257,0.000045,-0.025998,0.000000
0.027000,5.341835,0.003217,0.000400,0.000008,0.083599,0.000048,-0.026998,0.000000
0.028000,5.454623,0.003683,0.000461,0.000004,0.089054,0.000051,-0.027998,0.000000
