t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.002701,-0.001487,-0.000019,0.000005,0.000003,-0.000001,-0.001000,0.000000
0.002000,0.301461,-0.106508,-0.000012,0.000001,0.000304,-0.000108,-0.002000,0.000000
0.003000,0.588474,-0.207741,0.000001,0.000000,0.000894,-0.000311,-0.003000,0.000000
0.004000,0.868112,-0.307457,-0.000010,0.000009,0.001767,-0.000605,-0.004000,0.000000
0.005000,1.135769,-0.401251,-0.000006,-0.000004,0.002912,-0.000980,-0.005000,0.000000
0.006000,1.393028,-0.493403,-0.000001,-0.000001,0.004320,-0.001430,-0.006000,0.000000
0.007000,1.642277,-0.583956,-0.000009,0.000009,0.005983,-0.001949,-0.007000,0.000000
0.008000,1.880903,-0.669547,-0.000004,-0.000002,0.007893,-0.002529,-0.008000,0.000000
0.009000,2.110169,-0.754683,-0.000000,0.000008,0.010042,-0.003165,-0.009000,0.000000
0.010000,2.331986,-0.836657,-0.000002,0.000002,0.012421,-0.003851,-0.010000,0.000000
0.011000,2.543661,-0.915665,0.000009,-0.000010,0.015022,-0.004580,-0.011000,0.000000
0.012000,2.747957,-0.995010,0.000011,-0.000002,0.017839,-0.005350,-0.012000,0.000000
0.013000,2.944593,-1.072345,0.000013,-0.000001,0.020864,-0.006155,-0.013000,0.000000
0.014000,3.134399,-1.146631,0.000014,-0.000021,0.024091,-0.006988,-0.014000,0.000000
0.015000,3.312888,-1.220827,0.000037,-0.000015,0.027508,-0.007848,-0.015000,0.000000
0.016000,3.485834,-1.293353,0.000052,-0.000021,0.031112,-0.008729,-0.016000,0.000000
0.017000,3.652695,-1.364540,0.000065,-0.000035,0.034896,-0.009626,-0.017000,-0.000000
0.018000,3.809857,-1.434997,0.000096,-0.000037,0.038850,-0.010538,-0.018000,-0.000000
0.019000,3.964520,-1.504759,0.000105,-0.000054,0.042972,-0.011460,-0.019000,-0.000000
0.020000,4.110735,-1.573831,0.000128,-0.000065,0.047255,-0.012389,-0.020000,-0.000000
0.021000,4.250695,-1.643987,0.000151,-0.000059,0.051692,-0.013324,-0.021000,-0.000000
0.022000,4.384146,-1.712843,0.000182,-0.000060,0.056276,-0.014262,-0.022000,-0.000000
0.023000,4.512718,-1.779014,0.000215,-0.000090,0.061002,-0.015197,-0.022999,-0.000000
0.024000,4.635326,-1.846738,0.000249,-0.000101,0.065866,-0.016128,-0.023999,-0.000000
0.025000,4.755515,-1.913678,0.000269,-0.000130,0.070863,-0.017054,-0.024999,-0.000001
0.026000,4.865421,-1.979855,0.000324,-0.000147,0.075984,-0.017971,-0.025999,-0.000001
