t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000824,0.000293,-0.000004,-0.000007,0.000001,0.000000,-0.001000,-0.000000
0.002000,0.297716,-0.108105,0.000008,-0.000009,0.000299,-0.000108,-0.002000,-0.000000
0.003000,0.586051,-0.212436,0.000006,-0.000022,0.000886,-0.000316,-0.003000,-0.000000
0.004000,0.861763,-0.315259,0.000012,-0.000003,0.001753,-0.000618,-0.004000,-0.000000
0.005000,1.129700,-0.413504,0.000006,-0.000006,0.002892,-0.001005,-0.005000,-0.000000
0.006000,1.385254,-0.508682,0.000014,0.000001,0.004292,-0.001470,-0.006000,-0.000000
0.007000,1.633441,-0.600307,0.000011,-0.000008,0.005947,-0.002006,-0.007000,-0.000000
0.008000,1.870719,-0.689095,0.000017,-0.000013,0.007848,-0.002606,-0.008000,-0.000000
0.009000,2.100391,-0.776663,0.000014,-0.000010,0.009988,-0.003265,-0.009000,-0.000000
0.010000,2.322931,-0.862080,0.000001,-0.000014,0.012360,-0.003977,-0.010000,-0.000000
0.011000,2.533223,-0.944202,0.000012,-0.000016,0.014953,-0.004736,-0.011000,-0.000000
0.012000,2.736299,-1.025098,0.000018,-0.000016,0.017760,-0.005537,-0.012000,-0.000000
0.013000,2.930998,-1.104550,0.000027,-0.000012,0.020774,-0.006375,-0.013000,-0.000000
0.014000,3.119408,-1.181157,0.000031,-0.000028,0.023989,-0.007245,-0.014000,-0.000000
0.015000,3.297549,-1.256614,0.000053,-0.000032,0.027395,-0.008141,-0.015000,-0.000000
0.016000,3.470376,-1.331348,0.000064,-0.000038,0.030988,-0.009062,-0.016000,-0.000000
0.017000,3.633640,-1.405831,0.000090,-0.000026,0.034757,-0.010003,-0.017000,-0.000000
0.018000,3.793569,-1.477415,0.000102,-0.000049,0.038701,-0.010959,-0.018000,-0.000000
0.019000,3.944089,-1.549012,0.000131,-0.000052,0.042809,-0.011927,-0.019000,-0.000000
0.020000,4.090010,-1.619851,0.000152,-0.000064,0.047078,-0.012905,-0.020000,-0.000000
0.021000,4.228997,-1.690248,0.000179,-0.000071,0.051501,-0.013889,-0.020999,-0.000000
0.022000,4.364127,-1.758996,0.000199,-0.000099,0.056073,-0.014876,-0.021999,-0.000000
0.023000,4.489752,-1.826924,0.000245,-0.000118,0.060786,-0.015861,-0.022999,-0.000001
0.024000,4.613514,-1.895349,0.000270,-0.000145,0.065638,-0.016845,-0.023999,-0.000001
0.025000,4.728940,-1.964744,0.000312,-0.000147,0.070619,-0.017825,-0.024999,-0.000001
0.026000,4.840514,-2.032331,0.000353,-0.000172,0.075727,-0.018798,-0.025998,-0.000001
