t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.001373,0.000058,0.000008,0.000005,-0.000001,0.000000,-0.001000,0.000000
0.002000,0.299346,-0.107507,-0.000000,0.000005,0.000298,-0.000107,-0.002000,0.000000
0.003000,0.584993,-0.208612,0.000021,-0.000005,0.000885,-0.000312,-0.003000,0.000000
0.004000,0.864438,-0.309186,0.000010,-0.000001,0.001754,-0.000608,-0.004000,0.000000
0.005000,1.131246,-0.405579,0.000014,0.000004,0.002894,-0.000987,-0.005000,0.000000
0.006000,1.389504,-0.497973,0.000013,-0.000006,0.004298,-0.001441,-0.006000,0.000000
0.007000,1.636561,-0.589348,0.000017,0.000009,0.005957,-0.001966,-0.007000,0.000000
0.008000,1.875402,-0.676554,0.000018,0.000003,0.007861,-0.002553,-0.008000,0.000000
0.009000,2.106048,-0.762759,0.000012,0.000008,0.010006,-0.003198,-0.009000,0.000000
0.010000,2.327357,-0.846119,0.000010,0.000008,0.012381,-0.003894,-0.010000,0.000000
0.011000,2.539096,-0.927179,0.000016,0.000008,0.014979,-0.004636,-0.011000,0.000000
0.012000,2.742102,-1.005259,0.000029,-0.000003,0.017790,-0.005416,-0.012000,0.000000
0.013000,2.939971,-1.083570,0.000022,-0.000006,0.020811,-0.006233,-0.013000,0.000000
0.014000,3.126576,-1.159235,0.000039,-0.000008,0.024032,-0.007080,-0.014000,0.000000
0.015000,3.307066,-1.235040,0.000046,-0.000000,0.027445,-0.007955,-0.015000,0.000000
0.016000,3.480833,-1.308140,0.000056,-0.000012,0.031045,-0.008851,-0.016000,0.000000
0.017000,3.645207,-1.379658,0.000082,-0.000020,0.034823,-0.009765,-0.017000,0.000000
0.018000,3.804186,-1.451539,0.000099,-0.000021,0.038774,-0.010694,-0.018000,0.000000
0.019000,3.957058,-1.520405,0.000120,-0.000049,0.042891,-0.011633,-0.019000,-0.000000
0.020000,4.102282,-1.591400,0.000145,-0.000042,0.047168,-0.012581,-0.020000,-0.000000
0.021000,4.243140,-1.659735,0.000166,-0.000066,0.051600,-0.013533,-0.020999,-0.000000
0.022000,4.378375,-1.727916,0.000188,-0.000089,0.056181,-0.014487,-0.021999,-0.000000
0.023000,4.506126,-1.796522,0.000219,-0.000097,0.060905,-0.015441,-0.022999,-0.000000
0.024000,4.627996,-1.863488,0.000259,-0.000119,0.065764,-0.016391,-0.023999,-0.000000
0.025000,4.743825,-1.931206,0.000303,-0.000129,0.070754,-0.017336,-0.024999,-0.000000
0.026000,4.855532,-1.997359,0.000347,-0.000160,0.075869,-0.018272,-0.025998,-0.000001
