t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000140,-0.000046,0.000001,0.000001,-0.000000,-0.000000,-0.001000,0.000000
0.002000,0.317824,0.001112,0.000002,0.000001,0.000318,0.000001,-0.002000,0.000000
0.003000,0.625478,0.000550,-0.000005,0.000021,0.000943,0.000002,-0.003000,0.000000
0.004000,0.920794,0.002968,-0.000005,0.000005,0.001864,0.000005,-0.004000,0.000000
0.005000,1.204244,0.004884,0.000001,-0.000005,0.003068,0.000009,-0.005000,0.000000
0.006000,1.479796,0.004996,-0.000008,0.000005,0.004548,0.000014,-0.006000,0.000000
0.007000,1.741588,0.005020,0.000005,0.000016,0.006290,0.000019,-0.007000,0.000000
0.008000,1.996013,0.006913,0.000005,0.000005,0.008286,0.000026,-0.008000,0.000000
0.009000,2.241172,0.007833,0.000004,0.000005,0.010527,0.000034,-0.009000,0.000000
0.010000,2.476886,0.007918,0.000006,0.000015,0.013004,0.000042,-0.010000,0.000000
0.011000,2.704969,0.009063,0.000002,0.000011,0.015709,0.000051,-0.011000,0.000000
0.012000,2.923554,0.008988,0.000005,0.000022,0.018632,0.000060,-0.012000,0.000000
0.013000,3.131854,0.010994,0.000023,0.000008,0.021764,0.000071,-0.013000,0.000000
0.014000,3.333579,0.010946,0.000033,0.000017,0.025098,0.000082,-0.014000,0.000000
0.015000,3.527303,0.011743,0.000048,0.000017,0.028625,0.000094,-0.015000,0.000000
0.016000,3.713574,0.012911,0.000065,0.000011,0.032338,0.000107,-0.016000,0.000000
0.017000,3.893661,0.014036,0.000078,0.000006,0.036232,0.000121,-0.017000,0.000000
0.018000,4.063433,0.013800,0.000114,0.000016,0.040296,0.000135,-0.018000,0.000000
0.019000,4.231917,0.015355,0.000119,0.000005,0.044527,0.000150,-0.019000,0.000000
0.020000,4.391583,0.015584,0.000141,0.000009,0.048919,0.000166,-0.020000,0.000000
0.021000,4.544106,0.016754,0.000171,0.000002,0.053463,0.000182,-0.021000,0.000000
0.022000,4.690914,0.016416,0.000201,0.000012,0.058154,0.000199,-0.021999,0.000000
0.023000,4.833312,0.017898,0.000226,0.000001,0.062987,0.000217,-0.022999,0.000000
0.024000,4.968657,0.017048,0.000262,0.000017,0.067956,0.000234,-0.023999,0.000000
0.025000,5.096539,0.018419,0.000314,0.000007,0.073053,0.000252,-0.024999,0.000000
0.026000,5.220275,0.018460,0.000363,0.000012,0.078273,0.000271,-0.025999,0.000000
0.027000,5.340857,0.018406,0.000402,0.000018,0.083614,0.000289,-0.026998,0.000000
0.028000,5.456196,0.019909,0.000447,0.000005,0.089070,0.000309,-0.027998,0.000000
