t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,-0.000030,0.000430,0.000001,-0.000005,-0.000000,0.000000,-0.001000,-0.000000
0.002000,0.313269,-0.056803,-0.000002,-0.000005,0.000313,-0.000056,-0.002000,-0.000000
0.003000,0.615009,-0.112769,-0.000004,0.000005,0.000927,-0.000174,-0.003000,-0.000000
0.004000,0.905592,-0.164292,-0.000003,-0.000011,0.001830,-0.000352,-0.004000,-0.000000
0.005000,1.185038,-0.214903,-0.000001,-0.000011,0.003010,-0.000594,-0.005000,-0.000000
0.006000,1.454675,-0.262818,0.000000,-0.000015,0.004456,-0.000902,-0.006000,-0.000000
0.007000,1.713851,-0.309738,0.000004,-0.000002,0.006156,-0.001279,-0.007000,-0.000000
0.008000,1.964790,-0.353335,0.000003,-0.000002,0.008102,-0.001725,-0.008000,-0.000000
0.009000,2.205692,-0.393262,0.000009,-0.000013,0.010282,-0.002239,-0.009000,-0.000000
0.010000,2.438940,-0.431983,0.000007,-0.000011,0.012687,-0.002826,-0.010000,-0.000000
0.011000,2.663684,-0.467678,0.000008,-0.000014,0.015308,-0.003484,-0.011000,-0.000000
0.012000,2.878153,-0.499618,0.000025,-0.000026,0.018134,-0.004213,-0.012000,-0.000000
0.013000,3.087235,-0.531804,0.000025,-0.000010,0.021158,-0.005017,-0.013000,-0.000000
0.014000,3.289601,-0.559451,0.000024,-0.000017,0.024373,-0.005893,-0.014000,-0.000000
0.015000,3.482335,-0.584372,0.000040,-0.000020,0.027767,-0.006843,-0.015000,-0.000000
0.016000,3.669114,-0.606678,0.000051,-0.000024,0.031333,-0.007867,-0.016000,-0.000000
0.017000,3.847887,-0.625608,0.000074,-0.000034,0.035063,-0.008962,-0.017000,-0.000000
0.018000,4.020029,-0.642575,0.000101,-0.000035,0.038948,-0.010131,-0.018000,-0.000000
0.019000,4.190283,-0.657619,0.000102,-0.000037,0.042987,-0.011373,-0.019000,-0.000000
0.020000,4.352136,-0.668261,0.000123,-0.000054,0.047168,-0.012686,-0.020000,-0.000000
0.021000,4.508536,-0.677279,0.000144,-0.000060,0.051487,-0.014070,-0.021000,-0.000000
0.022000,4.656916,-0.683776,0.000184,-0.000059,0.055932,-0.015527,-0.021999,-0.000000
0.023000,4.802376,-0.686533,0.000214,-0.000076,0.060502,-0.017052,-0.022999,-0.000000
0.024000,4.940627,-0.685892,0.000262,-0.000099,0.065187,-0.018645,-0.023999,-0.000000
0.025000,5.076653,-0.683744,0.000295,-0.000115,0.069984,-0.020307,-0.024999,-0.000001
0.026000,5.206344,-0.677344,0.000345,-0.000148,0.074885,-0.022034,-0.025999,-0.000001
