t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.413700,-0.125962,0.000000,0.000000,0.000114,-0.000036,-0.001374,0.000000
0.001000,0.413197,-0.124820,0.000005,-0.000011,0.000528,-0.000159,-0.002374,0.000000
0.002000,0.701735,-0.213839,0.000007,0.000000,0.001232,-0.000365,-0.003374,0.000000
0.003000,0.980219,-0.298690,0.000007,-0.000003,0.002218,-0.000645,-0.004374,0.000000
0.004000,1.249713,-0.379904,0.000002,-0.000020,0.003477,-0.000992,-0.005374,-0.000000
0.005000,1.507996,-0.460691,-0.000000,-0.000011,0.005000,-0.001401,-0.006374,-0.000000
0.006000,1.755196,-0.537917,0.000008,-0.000011,0.006776,-0.001864,-0.007374,-0.000000
0.007000,1.994971,-0.614055,0.000005,-0.000007,0.008799,-0.002376,-0.008374,-0.000000
0.008000,2.223052,-0.686577,0.000020,-0.000013,0.011058,-0.002931,-0.009374,-0.000000
0.009000,2.444503,-0.759620,0.000020,-0.000002,0.013546,-0.003524,-0.010374,-0.000000
0.010000,2.658145,-0.828944,0.000020,-0.000018,0.016257,-0.004150,-0.011374,-0.000000
0.011000,2.862464,-0.899539,0.000023,-0.000003,0.019182,-0.004806,-0.012374,-0.000000
0.012000,3.058247,-0.965850,0.000036,-0.000019,0.022312,-0.005484,-0.013374,-0.000000
0.013000,3.249518,-1.034044,0.000026,-0.000015,0.025644,-0.006183,-0.014373,-0.000000
0.014000,3.430870,-1.099109,0.000036,-0.000028,0.029168,-0.006898,-0.015373,-0.000000
0.015000,3.602278,-1.163175,0.000064,-0.000034,0.032873,-0.007623,-0.016373,-0.000000
0.016000,3.767813,-1.226835,0.000088,-0.000042,0.036755,-0.008357,-0.017373,-0.000000
0.017000,3.928020,-1.290786,0.000103,-0.000046,0.040809,-0.009097,-0.018373,-0.000000
0.018000,4.081509,-1.353710,0.000123,-0.000057,0.045027,-0.009838,-0.019373,-0.000000
0.019000,4.227857,-1.416297,0.000150,-0.000066,0.049402,-0.010579,-0.020373,-0.000000
0.020000,4.368020,-1.479474,0.000178,-0.000066,0.053929,-0.011317,-0.021373,-0.000000
