t,fx,fy,x,y,x_dot,y_dot,wx,wy
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.001245,0.000057,-0.000007,-0.000006,0.000001,0.000000,-0.001000,-0.000000
0.002000,0.300643,-0.109949,-0.000014,0.000005,0.000302,-0.000110,-0.002000,-0.000000
0.003000,0.587202,-0.213677,-0.000004,-0.000001,0.000891,-0.000319,-0.003000,-0.000000
0.004000,0.864986,-0.314984,-0.000008,-0.000001,0.001761,-0.000621,-0.004000,-0.000000
0.005000,1.131435,-0.412936,-0.000005,0.000004,0.002901,-0.001007,-0.005000,0.000000
0.006000,1.389833,-0.506620,-0.000010,-0.000011,0.004306,-0.001470,-0.006000,-0.000000
0.007000,1.637017,-0.598675,-0.000009,-0.000007,0.005965,-0.002004,-0.007000,-0.000000
0.008000,1.874747,-0.687204,-0.000006,-0.000012,0.007870,-0.002602,-0.008000,-0.000000
0.009000,2.102716,-0.773252,0.000003,-0.000014,0.010012,-0.003257,-0.009000,-0.000000
0.010000,2.322085,-0.857514,0.000011,-0.000013,0.012383,-0.003965,-0.010000,-0.000000
0.011000,2.534936,-0.941232,0.000005,-0.000005,0.014977,-0.004720,-0.011000,-0.000000
0.012000,2.738536,-1.020107,0.000012,-0.000024,0.017787,-0.005516,-0.012000,-0.000000
0.013000,2.933326,-1.099084,0.000021,-0.000022,0.020803,-0.006348,-0.013000,-0.000000
0.014000,3.121256,-1.176434,0.000027,-0.000025,0.024019,-0.007212,-0.014000,-0.000000
0.015000,3.302560,-1.252069,0.000029,-0.000036,0.027430,-0.008104,-0.015000,-0.000000
0.016000,3.472932,-1.326393,0.000055,-0.000034,0.031024,-0.009019,-0.016000,-0.000000
0.017000,3.638882,-1.399949,0.000067,-0.000039,0.034798,-0.009954,-0.017000,-0.000000
0.018000,3.796855,-1.470871,0.000092,-0.000058,0.038745,-0.010902,-0.018000,-0.000000
0.019000,3.949222,-1.542035,0.000111,-0.000071,0.042857,-0.011863,-0.019000,-0.000000
0.020000,4.094804,-1.612824,0.000134,-0.000080,0.047130,-0.012833,-0.020000,-0.000000
0.021000,4.234202,-1.682155,0.000161,-0.000098,0.051557,-0.013808,-0.021000,-0.000000
0.022000,4.366695,-1.751591,0.000195,-0.000106,0.056131,-0.014787,-0.022000,-0.000001
0.023000,4.494112,-1.818848,0.000231,-0.000138,0.060847,-0.015764,-0.022999,-0.000001
0.024000,4.616604,-1.887171,0.000264,-0.000158,0.065700,-0.016738,-0.023999,-0.000001
0.025000,4.735058,-1.955443,0.000291,-0.000182,0.070686,-0.017708,-0.024999,-0.000001
0.026000,4.845011,-2.023700,0.000340,-0.000193,0.075796,-0.018671,-0.025999,-0.000001
